code,name,2011,2010,2009,2008,2007,2006,2005
000409,山东地矿,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000410,*ST沈机,0.0,0.0,0.0,0.0,0.1545,0.0,0.0
000411,英特集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000413,东旭光电,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000415,渤海金控,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000416,民生控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000417,合肥百货,1.0526,0.742,1.494,0.7424,0.5881,2.2472,0.0
000418,小天鹅A,0.0,0.0,0.0,0.0956,0.0,0.0,0.0
000419,通程控股,0.9074,1.2085,0.7899,0.0,0.0,1.6234,0.0
000420,吉林化纤,0.0,0.0,0.0,0.0,0.9112,0.0,3.5971
000421,南京公用,0.0,0.0,0.0,0.0,0.0,2.6371,1.1834
000422,湖北宜化,0.473,0.8562,1.9332,0.5184,0.6658,1.9233,1.1326
000423,东阿阿胶,0.7776,0.4851,1.1455,0.5387,1.4609,2.5707,0.3831
000425,徐工机械,0.2414,0.5712,0.1999,0.0,0.0,0.0,3.3113
000426,兴业矿业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000428,华天酒店,0.0,0.7676,0.0,0.0,0.0,2.2883,3.7129
000429,粤高速A,2.0534,1.8762,5.074,2.091,1.726,3.0303,1.8221
000430,张家界,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000488,晨鸣纸业,3.5294,0.6105,2.2222,0.6928,0.9334,1.528,0.9662
000498,山东路桥,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000501,鄂武商A,0.0,1.2658,0.0,0.0,0.0,0.0,0.0
000502,绿景控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000503,海虹控股,0.0,0.0,0.0,0.0,0.0,0.0,0.6649
000504,南华生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000505,珠江控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000506,中润资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000507,珠海港,0.4906,0.286,1.6611,1.0989,0.0,0.0,0.0
000509,华塑控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000510,金路集团,0.0,0.0,1.1301,0.6383,0.0,2.1459,0.0
000511,*ST烯碳,0.0,0.0,0.0,0.361,0.5617,0.0,0.0
000513,丽珠集团,0.4517,0.2229,2.0467,0.0,0.0,2.8517,0.0
000514,渝开发,0.0,0.2906,0.0,0.5637,0.0,0.0,0.0
000516,国际医学,0.5407,0.3831,0.0,1.1161,0.916,2.4581,4.4715
000517,荣安地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000518,四环生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000519,中兵红箭,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000520,长航凤凰,0.0,0.5374,2.9189,0.3092,1.1106,1.5873,1.9608
000521,美菱电器,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000523,广州浪奇,0.1338,0.0,0.0,0.0,0.107,0.0,0.0
000524,岭南控股,0.0,0.0,0.0,1.4213,0.0,0.0,0.0
000525,红太阳,0.3506,0.3226,0.3561,0.4247,0.5426,1.1765,1.5464
000526,*ST紫学,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000528,柳工,0.7037,0.3824,2.3829,1.0132,0.8726,3.6166,3.6456
000529,广弘控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000530,大冷股份,1.2346,1.4409,1.79,1.676,1.1952,2.6247,2.6385
000531,穗恒运A,0.0,0.0,0.0,1.7266,1.5748,17.0213,3.9557
000532,华金资本,0.3027,0.0,0.0,0.0,0.0,0.0,2.5
000533,万家乐,0.0,0.4181,0.0,0.0,0.0,0.0,0.0
000534,万泽股份,2.3697,0.7143,1.8762,0.0,0.0,0.0,3.5714
000536,华映科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000537,广宇发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000538,云南白药,0.2669,0.4559,0.2496,0.3463,0.2619,0.7862,1.4417
000539,粤电力A,3.2,0.8357,1.669,2.3684,1.3081,4.557,5.123
000540,中天金融,0.0,0.4704,0.737,0.0,0.0,0.0,0.0
000541,佛山照明,1.5793,1.2051,3.7464,2.3815,2.1586,5.4545,3.7674
000543,皖能电力,0.197,0.0,1.0828,0.2045,0.0,3.9841,6.9832
000544,中原环保,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000545,金浦钛业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000546,金圆股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000547,航天发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000548,湖南投资,0.0,1.1655,0.0,0.0,0.0,1.3774,0.0
000550,江铃汽车,1.737,1.3198,1.9293,1.8428,0.983,7.9531,3.8961
000551,创元科技,0.0,0.7143,1.497,2.3148,1.2733,2.9412,2.3923
000552,靖远煤电,0.2752,0.3922,0.0,0.0,0.0,0.0,0.0
000553,沙隆达A,0.0,0.5319,0.0,0.0,0.0,0.0,0.0
000554,泰山石油,0.0,1.233,6.6225,1.0251,0.6024,1.9569,0.0
000555,神州信息,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000557,西部创业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000558,莱茵体育,0.7169,1.3928,0.0,0.0,0.0,0.0,0.0
000559,万向钱潮,0.8137,0.7713,0.0,3.4335,2.0559,2.6261,2.4131
000560,昆百大A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000561,烽火电子,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000563,陕国投A,0.8467,0.2588,0.0,0.0,0.0,0.0,0.0
000564,供销大集,1.0781,0.65,0.0,1.7575,0.0,2.8962,3.3113
000565,渝三峡A,0.6835,0.0,0.7593,0.0,0.0,0.0,0.0
000566,海南海药,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000567,海德股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000568,泸州老窖,1.6465,2.107,1.5895,0.5747,0.0988,0.5083,0.0
000570,苏常柴A,0.0,0.4226,1.0699,0.9214,0.497,0.0,0.0
000571,新大洲A,0.0,0.6623,0.0,0.0,0.0,0.0,0.0
000572,海马汽车,0.0,0.0,0.8327,0.0,0.2542,0.0,0.0
000573,粤宏远A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000576,广东甘化,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000581,威孚高科,0.3828,0.9951,1.4101,0.4292,2.4053,1.3736,1.6935
000582,北部湾港,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000584,哈工智能,0.0,1.0787,0.0,0.0,0.0,0.0,0.0
000585,东北电气,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000586,汇源通信,0.0,0.0,0.0,0.0,0.0,1.4634,0.0
000587,金洲慈航,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000589,黔轮胎A,1.8866,0.6849,1.8963,0.0,0.0,3.632,0.0
000590,启迪古汉,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000591,太阳能,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000592,平潭发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000593,大通燃气,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000595,*ST宝实,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000596,古井贡酒,0.4537,0.0,0.0,0.0,0.0,0.0,0.0
000597,东北制药,0.6088,1.1134,0.0,0.425,0.0,0.0,0.0
000598,兴蓉环境,0.0,0.0,0.0,0.0962,0.0,0.0,0.0
000599,青岛双星,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000600,建投能源,0.0,0.9804,0.1702,1.4444,0.1743,1.3468,0.0
000601,韶能股份,0.3565,0.0,1.1132,0.2817,0.9412,2.1686,2.1288
000603,盛达矿业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000605,渤海股份,0.0,0.0,0.0,0.0,0.0,0.0,0.3327
000606,神州易桥,0.0,0.103,0.0,0.1441,0.0,0.0,0.0
000607,华媒控股,0.0,0.0,0.0,0.0,0.2714,1.5329,1.5133
000608,阳光股份,0.0,0.5133,0.0,0.3921,0.0,0.0,1.0587
000609,绵石投资,0.0,0.0,0.0,0.0416,0.0,0.0,1.8797
000610,西安旅游,0.0,0.0,0.4762,0.1192,0.2043,2.2039,0.5063
000611,天首发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000612,焦作万方,0.6965,0.3404,3.7607,0.6223,0.8095,0.0,0.0
000613,*ST东海A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000615,京汉股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000616,海航投资,1.7218,0.0,1.4981,0.0583,0.1896,0.817,0.33
000617,中油资本,0.1122,0.1727,0.1342,0.1046,0.1554,0.2215,0.556
000619,海螺型材,1.0471,0.4237,0.6266,1.3947,0.757,0.713,0.0
000620,新华联,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000622,恒立实业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000623,吉林敖东,0.5645,0.5339,0.0,0.0,0.0,4.0927,0.0
000625,长安汽车,0.5385,0.1579,0.0,0.4946,0.3883,4.7761,3.483
000626,远大控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000627,天茂集团,0.0,0.1417,0.5814,0.0,0.0,0.0,0.0
000628,高新发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000629,*ST钒钛,0.9063,1.4218,0.0,0.7863,0.0,5.6789,3.9139
000630,铜陵有色,0.3593,0.5546,1.2987,0.9467,1.5132,1.1578,1.5041
000631,顺发恒业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000632,三木集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000633,合金投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000635,英力特,0.0474,0.2276,0.0,0.369,0.0,1.6181,0.0
000636,风华高科,0.7188,0.0,0.3676,0.0,0.307,1.1028,1.2987
000637,茂化实华,0.1939,2.4213,3.5772,2.2779,0.0,0.8609,0.0
000638,万方发展,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000639,西王食品,0.0,0.0,0.0,0.0,0.4255,0.4042,0.0
000650,仁和药业,1.2754,0.0,0.0,0.0,0.0,0.0,0.0
000651,格力电器,1.5165,0.9103,0.6557,0.0,1.0194,0.0,6.9676
000652,泰达股份,1.0283,0.8791,0.3122,0.578,0.3996,0.7937,1.3835
000655,金岭矿业,0.0941,0.5921,0.0,0.0,0.0,0.0,0.0
000656,金科股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000657,中钨高新,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000659,*ST中富,0.6154,0.3881,1.1858,0.7273,0.4496,1.9157,0.0
000661,长春高新,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000662,天夏智慧,0.0,0.0,0.3851,0.0,0.0,0.898,0.0
000663,永安林业,0.0,0.0,0.7463,0.0,0.0,0.0,2.1053
000665,湖北广电,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000666,经纬纺机,0.0,0.1206,0.2137,1.1189,0.4888,1.3263,2.2086
000667,美好置业,0.8122,0.2649,0.5749,0.0,0.0956,8.895,5.0808
000668,荣丰控股,0.6323,0.9322,0.7062,0.5552,0.3763,0.8783,1.4881
000669,金鸿控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000670,盈方微,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000671,阳光城,0.5368,0.5836,0.1889,0.1576,0.0,0.0,0.0
000672,上峰水泥,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000673,当代东方,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000676,智度股份,0.0,0.0,0.0,1.1538,0.6857,1.3158,0.452
000677,恒天海龙,0.0,0.0,0.0,0.4033,0.0,1.1152,1.278
000678,襄阳轴承,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000679,大连友谊,0.7299,0.8361,0.3802,1.0132,1.0929,2.4213,1.5015
000680,山推股份,0.4658,0.813,0.878,0.2406,1.5711,0.0,5.9013
000681,视觉中国,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000682,东方电子,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000683,远兴能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000685,中山公用,0.0,0.9255,0.0,0.1505,0.23,0.8099,0.6826
000686,东北证券,0.0,1.4817,0.0,0.0,0.0,0.0,0.0
000687,华讯方舟,0.0,0.0,0.0,0.0,0.0,0.0,13.834
000688,建新矿业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000690,宝新能源,0.0,1.6931,0.0,0.1548,0.0815,0.4579,7.7108
000691,亚太实业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000692,惠天热电,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000693,*ST华泽,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000695,滨海能源,0.0,0.2439,0.3668,0.5443,0.5211,0.0,0.0
000697,炼石有色,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000698,沈阳化工,0.0,0.5791,0.0,0.0,0.0,1.0684,0.0
000700,模塑科技,0.0,0.4587,0.0,0.7669,0.2413,7.5314,5.9801
000701,厦门信达,0.0,0.0,1.4144,0.0,0.0,3.5778,0.0
000702,正虹科技,0.0,0.0,0.0,0.0,0.0,0.0,2.5547
000703,恒逸石化,0.0,0.0,0.0,0.0,0.2846,0.0,0.0
000705,浙江震元,0.5054,0.4695,0.5195,0.5,0.0,2.5253,0.0
