code,name,2018,2017,2016,2015,2014,2013,2012
000001,平安银行,1.1127,1.4182,0.0,1.5336,0.8212,0.5348,0.0
000002,万科A,2.13,3.6923,2.0485,2.7992,2.2767,1.1772,1.1136
000004,国农科技,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000005,世纪星源,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000006,深振业A,1.8274,1.4423,1.488,1.3271,1.9637,0.6993,0.7268
000007,全新好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000008,神州高铁,0.118,0.0,0.0,0.0,0.0,0.0,0.0
000009,中国宝安,0.2963,0.618,0.1462,0.1056,0.2593,0.0,0.1799
000010,美丽生态,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000011,深物业A,1.0405,0.4638,1.567,1.7088,0.0,0.0,0.0
000012,南玻A,0.9367,3.012,4.4326,1.9367,1.9737,2.4,3.6091
000014,沙河股份,0.1085,0.2159,0.0939,0.0691,0.2432,0.2328,0.4284
000016,深康佳A,0.0,0.0,0.1025,0.0625,0.2415,0.2933,0.289
000017,深中华A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000018,神州长城,0.9967,0.0,0.0,0.0,0.0,0.0,0.0
000019,深深宝A,0.3741,0.0,0.0,0.0,2.457,0.0,0.0
000020,深华发A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021,深科技,0.4263,0.6274,0.5543,0.3647,0.3496,2.4331,2.3962
000022,深赤湾A,2.0531,1.6626,2.0074,1.4612,2.7605,2.584,4.4391
000023,深天地A,0.2014,0.2,0.1231,0.1488,0.3243,0.4717,0.0
000025,特力A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000026,飞亚达A,0.9479,0.7675,0.7466,0.5917,1.4306,1.4144,0.5987
000027,深圳能源,2.4834,2.8612,1.9637,1.7147,1.7921,1.7212,1.3419
000028,国药一致,0.5419,0.3248,0.2857,0.2412,0.353,0.413,0.5574
000029,深深房A,0.0,0.0,1.1786,0.0,0.0,0.0,0.0
000030,富奥股份,2.5253,1.7647,1.3604,0.8196,0.0,0.0,0.0
000031,中粮地产,0.5,0.4624,0.3504,0.2467,0.9063,0.7979,0.4274
000032,深桑达A,0.2043,0.1061,0.1776,0.1408,2.148,0.0,1.2289
000034,神州数码,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000035,中国天楹,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000036,华联控股,3.0303,0.0,0.0,0.0,0.0,0.0,0.0
000037,深南电A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000038,深大通,0.3174,0.0,0.0,0.0,0.0,0.0,0.0
000039,中集集团,0.2784,1.3596,2.1162,1.0442,1.811,4.014,2.2581
000040,东旭蓝天,0.106,0.0,0.25,0.2066,0.9926,0.6881,0.0
000042,中洲控股,0.4545,1.119,0.6933,0.6556,2.3551,1.7204,2.991
000043,中航地产,0.6986,0.4583,1.1947,1.6313,1.8904,1.6779,0.8897
000045,深纺织A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000046,泛海控股,1.8939,1.7401,1.3289,0.797,2.0921,1.2048,0.5435
000048,康达尔,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000049,德赛电池,0.65,0.2668,0.0,0.4762,0.829,1.2287,0.4031
000050,深天马A,0.314,0.3482,0.4428,0.1886,0.4662,0.0,0.0
000055,方大集团,3.844,0.7135,0.177,0.0,0.8902,0.0,0.0
000056,皇庭国际,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000058,深赛格,0.4043,0.1868,0.0,0.0,0.0,0.0,0.0
000059,华锦股份,2.1601,0.0,0.0,0.0,0.0,1.8553,1.0846
000060,中金岭南,0.5164,0.0973,0.2854,0.1533,0.8287,0.8295,0.1628
000061,农产品,0.6579,0.5359,0.4075,0.2561,0.4562,0.831,0.9259
000062,深圳华强,0.8764,0.4232,0.1897,1.0985,0.0,2.5253,0.7886
000063,中兴通讯,0.0,1.3947,1.1614,0.0963,0.0,1.759,1.454
000065,北方国际,0.5099,0.1397,0.2752,0.2103,0.3207,0.5425,0.4728
000066,中国长城,0.0,0.0,0.0,0.0,0.0,0.7641,1.0504
000068,华控赛格,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000069,华侨城A,1.0341,0.8589,0.9328,0.675,1.4463,0.8013,0.0
000070,特发信息,0.3815,0.125,0.0883,0.1321,0.3727,0.0,0.0
000078,海王生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000088,盐田港,0.2038,0.2618,0.7796,0.2825,1.7953,0.0,6.724
000089,深圳机场,0.9641,0.5859,0.3135,0.3226,0.8028,1.2686,0.8537
000090,天健集团,1.8657,1.3763,1.1452,0.8875,0.5813,0.4048,0.8855
000096,广聚能源,0.7479,0.1233,0.1563,0.1617,0.3478,1.4184,0.0
000099,中信海直,0.0,0.6667,0.5551,0.3911,0.5721,0.6711,0.5637
000100,TCL集团,1.794,0.0,2.3256,1.2862,2.2764,3.0769,0.0
000150,宜华健康,0.692,0.0,0.0,0.0,0.0,0.0,0.0
000151,中成股份,2.459,2.1368,2.3015,1.0937,0.9309,0.0,0.2475
000153,丰原药业,0.0,0.7987,0.0,0.0,1.4859,0.0,0.0
000155,川化股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000156,华数传媒,1.2281,0.2155,0.0,0.0,0.0,0.0,0.0
000157,中联重科,3.2527,3.3408,1.1682,1.9084,4.415,3.3025,2.0182
000158,常山北明,0.5762,0.2835,0.0,0.0,0.0,0.0,0.4598
000159,国际实业,1.1494,0.7624,0.7833,0.4412,0.828,2.3729,0.4049
000166,申万宏源,1.9011,1.8801,0.0,0.0,0.0,0.0,0.0
000301,东方市场,0.8562,0.9804,1.0893,0.6983,1.6234,0.6849,2.0588
000333,美的集团,1.6144,2.353,3.0776,4.8688,4.6323,0.0,0.0
000338,潍柴动力,3.2014,1.7825,2.1766,0.7934,1.9242,0.8349,1.2983
000400,许继电气,0.7949,0.5556,0.6523,0.2318,0.1963,0.3475,0.5456
000401,冀东水泥,0.0,0.0,0.4587,0.4808,1.2346,0.0,0.0
000402,金融街,3.3727,3.4014,2.7685,1.7944,2.3659,1.7483,3.7147
000403,ST生化,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000404,华意压缩,0.5325,0.7752,0.7109,0.3036,0.0,0.0,0.0
000407,胜利股份,0.0,0.1883,0.0,0.0,0.0,0.0,0.9085
000408,藏格控股,1.676,0.0,0.0,0.0,0.0,0.0,0.0
000409,山东地矿,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000410,*ST沈机,0.0,0.0,0.1178,0.0,0.0,1.083,0.0
000411,英特集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000413,东旭光电,0.6533,0.0,1.8135,0.0,0.0,0.0,0.0
000415,渤海金控,0.8621,0.0,0.4207,0.7353,0.0,0.0,0.0
000416,民生控股,0.7042,0.5365,0.6068,0.0,0.6588,0.0,0.0
000417,合肥百货,1.9133,1.3498,2.2388,1.5789,1.8116,1.3378,0.0
000418,小天鹅A,1.0252,1.3167,1.4975,1.4144,3.2967,2.2624,1.0627
000419,通程控股,2.0548,0.0,1.3495,1.0091,1.9646,3.7965,0.0
000420,吉林化纤,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000421,南京公用,1.6367,1.3021,0.8403,0.2696,0.3546,1.1312,0.0
000422,湖北宜化,0.0,0.161,0.1595,0.1125,2.0202,0.3467,0.433
000423,东阿阿胶,1.4202,1.2141,1.7406,1.3333,2.1739,0.7165,0.773
000425,徐工机械,0.3261,0.0,0.5952,0.5938,1.9697,2.4655,0.0
000426,兴业矿业,0.2,0.0,0.1387,0.1397,0.3732,0.5504,0.0
000428,华天酒店,0.0,0.0,0.0,0.1697,0.4149,0.0,0.0
000429,粤高速A,4.2158,0.9412,1.7575,0.7669,1.7544,1.6722,2.9412
000430,张家界,0.7687,0.0,0.0,0.0,0.0,0.0,0.0
000488,晨鸣纸业,3.3978,2.5144,1.6807,3.2715,1.3337,3.7879,6.1983
000498,山东路桥,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000501,鄂武商A,1.9674,0.0,0.0,1.8141,0.0,0.0,0.0
000502,绿景控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000503,海虹控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000504,南华生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000505,珠江控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000506,中润资源,0.0,0.0,0.0,0.3623,1.0443,0.0,0.0
000507,珠海港,0.2026,0.2086,0.2655,0.1564,0.994,1.1529,0.333
000509,华塑控股,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000510,金路集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000511,*ST烯碳,0.0,0.0,0.0,0.1608,0.0,0.0,0.0
000513,丽珠集团,0.495,0.7552,0.1721,0.6764,1.1379,1.2219,0.457
000514,渝开发,0.3008,0.0,0.2454,0.2868,0.36,0.4424,0.5034
000516,国际医学,0.6135,0.2532,0.0,0.1608,0.6369,1.2469,0.0
000517,荣安地产,0.0,0.0,1.5686,0.1433,0.0,0.0,0.0
000518,四环生物,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000519,中兵红箭,0.0,0.0,0.3711,0.0,0.0,0.0,0.0
000520,长航凤凰,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000521,美菱电器,1.1673,0.5952,1.0,0.7001,0.9785,1.0187,0.8075
000523,广州浪奇,0.2519,0.1938,0.1475,0.1333,0.2418,0.0,0.0
000524,岭南控股,0.0,0.1373,0.0,0.5753,0.553,0.0,0.0
000525,红太阳,1.3061,2.5628,0.9654,0.2426,0.2209,0.1303,0.0
000526,*ST紫学,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000528,柳工,1.1962,1.199,2.1802,1.7606,4.1459,3.7688,2.5082
000529,广弘控股,0.6503,0.0,0.0,0.0,0.0,0.0,0.0
000530,大冷股份,1.3228,0.4836,1.0013,0.9211,1.5957,1.7815,1.8892
000531,穗恒运A,3.2216,1.4507,2.2869,0.9927,1.4229,0.0,7.5897
000532,华金资本,0.5946,0.1898,0.1949,0.2256,0.2717,0.6889,0.5342
000533,万家乐,0.4789,0.0,0.4695,1.2407,0.0,1.1312,0.0
000534,万泽股份,0.3861,0.3994,0.4072,0.6246,0.998,0.9228,0.9745
000536,华映科技,3.5249,0.0,0.0,0.0,0.0,3.8894,4.5964
000537,广宇发展,0.1223,0.0,0.0,0.0,0.0,0.0,0.0
000538,云南白药,0.7783,0.7018,0.8271,0.4798,0.5294,0.1878,0.1983
000539,粤电力A,1.6667,4.2831,2.9603,1.8744,2.224,0.6433,1.9608
000540,中天金融,2.7204,0.0,2.8713,1.2986,1.9248,1.7699,0.8325
000541,佛山照明,4.6256,0.1266,1.8197,0.9756,2.9637,3.937,2.5826
000543,皖能电力,0.9921,4.902,1.7743,1.8622,0.624,0.1115,0.3597
000544,中原环保,0.3406,0.0895,0.2507,0.1642,0.0,0.0,0.0
000545,金浦钛业,0.6061,0.9788,0.0,0.0,0.0,0.0,0.0
000546,金圆股份,2.6885,0.0,0.0,0.0,0.0,0.0,0.0
000547,航天发展,0.5078,0.3351,0.0,0.1949,0.3322,0.2727,0.193
000548,湖南投资,0.78,0.0,0.5945,0.0,1.0616,0.0,1.1161
000550,江铃汽车,3.7377,4.5255,3.9592,1.9175,2.6445,5.5341,3.5111
000551,创元科技,0.0,0.0,1.1013,0.0,0.0,0.9565,0.0
000552,靖远煤电,0.5698,0.554,0.3654,0.523,0.8997,0.071,0.1863
000553,沙隆达A,0.0,0.1904,0.0,0.6485,0.8197,0.0,0.0
000554,泰山石油,0.0,0.0,0.1054,0.0,0.0,0.464,0.0
000555,神州信息,0.2203,0.2119,0.1028,0.0,0.0,0.0,0.0
000557,西部创业,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000558,莱茵体育,0.0,0.0,0.13,0.0,0.0,0.0,0.0
000559,万向钱潮,0.8636,2.2462,1.6351,2.1254,2.623,6.3291,3.7831
000560,昆百大A,0.1105,0.0487,0.1115,0.1085,0.5625,0.0,0.0
000561,烽火电子,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000563,陕国投A,0.4878,0.0,0.4611,0.187,0.2391,0.3563,0.0
000564,供销大集,0.4603,0.0,0.196,0.5051,1.0941,0.0,0.8224
000565,渝三峡A,0.6964,0.5286,0.5113,0.2506,0.6098,0.0,0.0
000566,海南海药,1.1637,0.0,0.1365,0.1086,0.4803,0.4643,0.0
000567,海德股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000568,泸州老窖,1.2628,1.7204,3.4043,4.8638,10.9204,5.7307,2.2868
000570,苏常柴A,0.5505,0.2953,0.2169,0.1365,0.3049,0.2574,0.0
000571,新大洲A,0.5814,0.3995,0.0,0.4054,1.5873,1.2821,0.0
